planet_name,host_name,number_stars,number_planets,discovery_method,discovery_year,discovery_facility,orbital_period,semimajor_axis,planet_radius,planet_mass_E,planet_mass_J,planet_eccentricity,planet_eq_temp,star_spectype,star_teff,star_radius,star_mass,star_age,system_distance,system_vmag,system_gaiamag
PSR B1257+12 d,PSR B1257+12,1,3,Pulsar Timing,1992,Arecibo Observatory,98.2114,0.46,1.8,3.9,0.01227071,0.0264,,,,,1.4,3,600,,
PSR B1257+12 c,PSR B1257+12,1,3,Pulsar Timing,1992,Arecibo Observatory,66.5419,0.36,1.91,4.3,0.01352925,0.0186,,,,,1.4,3,600,,
PSR B1257+12 b,PSR B1257+12,1,3,Pulsar Timing,1994,Arecibo Observatory,25.262,0.19,0.338,0.02,0.00006293,0,,,,,1.4,3,600,,
51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,4.230785,0.0527,14.3,146.2018,0.46,0.013,,G5V,5758,1.17561,1.03,10,15.4614,5.45309,5.28647
47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,1078,2.1,13.2,804.08,2.53,0.032,,G0 V,5872,1.21334,1.06,6.48,13.7967,5.03352,4.87837
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,798.5,1.66,13.5,565.7374,1.78,0.68,,G3 V,5750,1.13,1.08,7.4,21.1397,6.215,6.06428
70 Vir b,70 Vir,1,1,Radial Velocity,1996,Lick Observatory,116.688,0.481,12.6,2380.45,7.49,0.3988,,G5V,5495,1.89,1.09,7.77,17.9011,4.96808,4.76178
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.6516,0.1134,13.9,263.9785,0.8306,0,700,K0 IV-V,5172,0.943,0.905,5.5,12.5855,5.95084,5.72973
ups And b,ups And,2,3,Radial Velocity,1996,Lick Observatory,4.617033,0.05922166,14,218.531,0.6876,0.0215,,F8 V,6156.77,1.56,1.3,5,13.4054,4.09565,3.98687
tau Boo b,tau Boo,2,1,Radial Velocity,1996,Lick Observatory,3.3124568,0.049,12.8,1891,5.95,0.011,,F7 V,6466.27,1.42588,1.32,2,15.6521,4.48635,4.36617
rho CrB b,rho CrB,1,4,Radial Velocity,1997,Fred Lawrence Whipple Observatory,39.8438,0.2245,13.7,347.3864489,1.093,0.038,614,G0 V,5817,1.35,0.95,10.2,17.4671,5.40816,5.24167
HD 210277 b,HD 210277,1,1,Radial Velocity,1998,W. M. Keck Observatory,442.19,1.13,13.6,410.0007,1.29,0.48,,G0 V,5538,1.07,1.01,12,21.2985,6.54348,6.34701
GJ 876 b,GJ 876,1,4,Radial Velocity,1998,Multiple Observatories,61.1166,0.208317,13.3,723.2235,2.2756,0.0324,,M4 V,3293.74,0.3,0.32,1,4.67517,10.16,8.8753
HD 168443 b,HD 168443,1,2,Radial Velocity,1998,W. M. Keck Observatory,58.11187,0.292,12.6,2424.395089,7.628,0.53,,G5,5491,1.711479,0.98,11.08,39.6245,6.92122,6.73166
HD 195019 b,HD 195019,2,1,Radial Velocity,1998,Lick Observatory,18.20132,0.14,13,1264.9634,3.98,0.01,,G3 IV-V,5751,1.48,1.21,3.2,37.6681,6.87591,6.72911
HD 217107 b,HD 217107,1,2,Radial Velocity,1998,Lick Observatory,7.12682,0.08,13.6,413.179,1.3,0.13,,G8 IV,5622,1.11,1,5.84,20.0619,6.155,5.96401
HD 187123 b,HD 187123,1,2,Radial Velocity,1998,W. M. Keck Observatory,3.0965828,0.0426,14.2,166.218,0.523,0.0103,,G3 V,5790,1.15043,1.04,7.4,45.9548,7.83,7.67284
ups And d,ups And,2,3,Radial Velocity,1999,Multiple Observatories,1276.46,2.51329,12.5,3257.741172,10.25,0.2987,,F8 V,6156.77,1.56,1.3,5,13.4054,4.09565,3.98687
HD 10697 b,HD 10697,1,1,Radial Velocity,1999,W. M. Keck Observatory,1075.3799,2.051,12.8,1825.288541,5.743,0.104,,G3 V,5641,1.863076,0.99,6.98,33.1205,6.28262,6.10286
HD 222582 b,HD 222582,2,1,Radial Velocity,1999,W. M. Keck Observatory,572.38,1.34,12.6,2660.2371,8.37,0.73,,G5 V,5790,1.13,1.12,10.24,42.1586,7.68,7.51889
HD 177830 b,HD 177830,2,2,Radial Velocity,1999,W. M. Keck Observatory,410.10001,1.14,13.5,537.1327,1.69,0.1,,K0,4901,3.26,1.7,4.4,62.7674,7.18,6.8866
HR 810 b,HR 810,1,1,Radial Velocity,1999,La Silla Observatory,302.79999,0.92,12.7,1970.536123,6.2,0.14,,G0V,6167,1.13,1.34,2.72,17.3181,5.4,5.25587
HD 134987 b,HD 134987,1,2,Radial Velocity,1999,W. M. Keck Observatory,258.17999,0.81,13.5,511.7063,1.61,0.23,,G5 V,5736,1.22,1.1,8.4,26.1804,6.47,6.28994
HD 89744 b,HD 89744,2,1,Radial Velocity,1999,Fred Lawrence Whipple Observatory,256.78,0.917,12.6,2653.8805,8.35,0.677,,F7 V,6291,2.13257,1.86,1.88,38.6364,5.73469,5.60551
ups And c,ups And,2,3,Radial Velocity,1999,Multiple Observatories,241.258,0.827774,12.3,4443.24113,13.98,0.2596,,F8 V,6156.77,1.56,1.3,5,13.4054,4.09565,3.98687
HD 192263 b,HD 192263,1,1,Radial Velocity,1999,La Silla Observatory,24.3556,0.15,14.2,177.9848,0.56,0.05,486,K2 V,4976,0.74,0.66,2.09,19.6359,7.79,7.49558
GJ 86 b,GJ 86,2,1,Radial Velocity,1999,La Silla Observatory,15.76491,0.11,12.9,1404.8086,4.42,0.04,,K1V,5182,0.77,0.93,11.3,10.7836,6.12,5.88516
HD 130322 b,HD 130322,1,1,Radial Velocity,1999,La Silla Observatory,10.70871,0.0925,13.7,365.49,1.15,0.029,720,K0 V,5387,0.85,0.92,0.35,31.8766,8.04,7.83448
HD 209458 b,HD 209458,1,1,Radial Velocity,1999,W. M. Keck Observatory,3.52474859,0.04707,15.58051,232.0159,0.73,0,1459,,6091,1.178023,1.131,3.1,48.3016,7.65,7.50866
HD 75289 b,HD 75289,2,1,Radial Velocity,1999,La Silla Observatory,3.50927,0.05,14.2,155.7367,0.49,0.03,1260,G0,6117,1.23,1.29,5.6,29.1158,6.35,6.21047
eps Eri b,eps Eri,1,1,Radial Velocity,2000,Multiple Observatories,2671,3.53,14.1,209.7667486,0.66,0.07,,K2 V,5020.38,0.759106,0.82,0.6,3.2026,3.71548,3.47719
HD 38529 c,HD 38529,2,2,Radial Velocity,2000,Multiple Observatories,2127.60566,3.226,12.5,3299.058865,10.38,0.357,,G4 IV,5567,2.857838,1.529286,4.5,42.3538,5.92848,5.74796
HD 168443 c,HD 168443,1,2,Radial Velocity,2000,W. M. Keck Observatory,1753.1096,2.842,12.2,5500.338412,17.306,0.21,,G5,5491,1.711479,0.98,11.08,39.6245,6.92122,6.73166
HD 160691 b,HD 160691,1,4,Radial Velocity,2000,Anglo-Australian Telescope,645,1.5,,1366.66215,4.3,0.128,,G3 IV-V,5773,1.33,1.13,5.7,15.5981,5.12,4.94916
HD 27442 b,HD 27442,2,1,Radial Velocity,2000,Anglo-Australian Telescope,428.1,1.271,13.5,495.8,1.56,0.06,,K1/2III,4846,3.18,1.23,10,18.2704,4.44,4.14532
HD 92788 b,HD 92788,1,2,Radial Velocity,2000,Multiple Observatories,325.803,0.97,13,1195.0408,3.76,0.35,,G6 V,5744,1.14,1.15,2.55,34.6538,7.31637,7.13929
HD 12661 b,HD 12661,1,2,Radial Velocity,2000,Multiple Observatories,262.70862,0.84,13.3,772.3269,2.43,0.38,,K0,5645,1.2,1.2,6.39,37.8478,7.43,7.24746
HD 169830 b,HD 169830,1,2,Radial Velocity,2000,La Silla Observatory,225.67372,0.765,13.2,804.4236981,2.531,0.294,345,F8 V,6300,1.935709,1.17,2.8,37.6048,5.9,5.77641
GJ 3021 b,GJ 3021,2,1,Radial Velocity,2000,La Silla Observatory,133.71,0.49,13.1,1071.04,3.37,0.511,350,G6 V,5540,0.9,0.9,0.37,17.5559,6.59,6.39729
HD 52265 b,HD 52265,1,1,Radial Velocity,2000,W. M. Keck Observatory,119.27,0.52,13.7,384.5743,1.21,0.27,405,G0V,6136,1.32,1.204,3.5,29.9803,6.29351,6.15257
HD 16141 b,HD 16141,2,1,Radial Velocity,2000,W. M. Keck Observatory,75.523,0.36,10.9,82.6358,0.26,0.25,,G5 IV,5757,1.48,1.11,7.51,37.7861,6.834,6.65773
GJ 876 c,GJ 876,1,4,Radial Velocity,2000,Multiple Observatories,30.0881,0.12959,14,226.9846,0.7142,0.25591,,M4 V,3293.74,0.3,0.32,1,4.67517,10.16,8.8753
HD 38529 b,HD 38529,2,2,Radial Velocity,2000,Multiple Observatories,14.3099,0.115,14.1,206.5884646,0.65,0.256,,G4 IV,5567,2.857838,1.529286,3.09,42.3538,5.92848,5.74796
BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,W. M. Keck Observatory,3.48777,0.04,14.1,187.5197,0.59,0.02,,K0 V,5393,0.91,1.47,1,84.4069,10.013,9.83981
HD 179949 b,HD 179949,1,1,Radial Velocity,2000,Anglo-Australian Telescope,3.092514,0.0443,13.9,291.12,0.916,0.022,,F8 V,6168,1.266865,1.21,1,27.4573,6.25,6.1106
HD 46375 b,HD 46375,2,1,Radial Velocity,2000,W. M. Keck Observatory,3.023573,0.0398,10,71.8,0.226,0.063,,K1 IV-V,5285,0.914196,0.92,9,29.5529,7.91,7.69533
47 UMa c,47 UMa,1,3,Radial Velocity,2001,Lick Observatory,2391,3.6,14.2,171.621,0.54,0.098,,G1 V,5872,1.21334,1.06,6.48,13.7967,5.03352,4.87837
HD 39091 b,HD 39091,1,3,Radial Velocity,2001,Anglo-Australian Telescope,2088.8,3.28,12.3,4481.380539,14.1,0.642,,G0 V,5998,1.17,1.07,3.92,18.2702,5.65,5.5128
HD 213240 b,HD 213240,2,1,Radial Velocity,2001,La Silla Observatory,882.70001,1.89,12.8,1655.886,5.21,0.42,,G0/1 V,5979,1.51,1.57,4.6,40.8707,6.81,6.65761
HD 4208 b,HD 4208,1,1,Radial Velocity,2001,W. M. Keck Observatory,832.97,1.662,13.9,257.4423,0.81,0.042,,G7 V Fe-1 CH-0.5,5717,0.846,0.883,3.813,34.1937,7.783,7.61066
HD 23079 b,HD 23079,1,1,Radial Velocity,2001,Anglo-Australian Telescope,730.59998,1.6,13.2,829.5363,2.61,0.1,,F9.5 V,5974,1.07,1.12,2,33.4591,7.12,6.96235
HD 114783 b,HD 114783,1,2,Radial Velocity,2001,W. M. Keck Observatory,493.7,1.16,13.7,349.6,1.1,0.144,,K0,5135,0.840622,0.853,6,21.0628,7.56,7.31783
HD 4203 b,HD 4203,1,2,Radial Velocity,2001,W. M. Keck Observatory,431.88,1.17,13.3,708.7609,2.23,0.52,,G5,5596,1.42,1.25,8.52,81.3795,8.7,8.51545
HD 28185 b,HD 28185,1,2,Radial Velocity,2001,La Silla Observatory,385.52775,1.035,12.8,1855.164412,5.837,0.055,,G5,5662,1.03,0.99,7.5,39.3809,7.8,7.62682
HD 142 b,HD 142,2,3,Radial Velocity,2001,Anglo-Australian Telescope,351.43394,1.039,12.7,2256.58169,7.1,0.158,,G1 IV,6245,1.47,1.21,3.12,26.1853,5.7,5.58442
HD 80606 b,HD 80606,2,1,Radial Velocity,2001,Multiple Observatories,111.4367,0.4565,11.99363,1392.0954,4.38,0.93,405,G5,5561,1.04,1.15,5.9,66.4711,9.06,8.82008
HD 178911 B b,HD 178911 B,3,1,Radial Velocity,2001,W. M. Keck Observatory,71.484,0.34,12.6,2552.1749,8.03,0.11,,G5,5588,1.08,1.24,,40.9727,7.97,7.86705
HD 68988 b,HD 68988,1,2,Radial Velocity,2001,Multiple Observatories,6.27711,0.07,13.4,626.1251,1.97,0.12,,G2 V,5932,1.19,1.28,6,60.8447,8.2,8.04611
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,5574.2,5.957,13,1232.493,3.878,0.13,,G8 V,5172,0.943,0.905,5.5,12.5855,5.95084,5.72973
HD 72659 b,HD 72659,1,2,Radial Velocity,2002,W. M. Keck Observatory,3549.39854,4.691,13.2,949.6712801,2.988,0.257,,G2 V,5932,1.46,1.09,6.5,51.8949,7.46,7.3107
HD 30177 b,HD 30177,1,2,Radial Velocity,2002,Anglo-Australian Telescope,2514.53422,3.604,12.6,2670.712104,8.403,0.207,,G8 V,5580,1.019,0.98,2.525,55.5867,8.41,8.21511
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1765.0389,2.774,12.6,2559.472162,8.053,0.373,,K0 V,5338,0.93,0.91,3.9,17.9323,6.61935,6.383
HD 12661 c,HD 12661,1,2,Radial Velocity,2002,Multiple Observatories,1708,2.8145,13.4,575.884,1.812,0.031,,K0,5748,1.11,1.02,6.39,37.8478,7.43,7.24746
HD 106252 b,HD 106252,1,1,Radial Velocity,2002,Lick Observatory,1531,2.61,12.5,3178.28407,10,0.48,,G0,5874,1.1,1.01,4.19,38.185,7.41,7.26281
HD 196050 b,HD 196050,3,1,Radial Velocity,2002,Anglo-Australian Telescope,1392,2.65,12.9,1493.793513,4.7,0.2,,G3 V,5879,1.42,1.27,4.3,50.6742,7.5,7.3407
HD 216437 b,HD 216437,1,1,Radial Velocity,2002,Anglo-Australian Telescope,1359,2.57,13,1334.879309,4.2,0.31,,G1 V,5909,1.394,1.22,4.9,26.6902,6.04,5.89397
HD 216435 b,HD 216435,1,1,Radial Velocity,2002,Anglo-Australian Telescope,1311,2.56,13.7,400.4,1.26,0.07,,G0 V,5999,1.800029,1.3,3,32.9834,6.03,5.88357
HD 50554 b,HD 50554,1,1,Radial Velocity,2002,Lick Observatory,1293,2.353,12.8,1859.296181,5.85,0.501,,F8 V,5987,1.02,1.04,2.16,31.1664,6.8561,6.69786
HD 114729 b,HD 114729,2,1,Radial Velocity,2002,W. M. Keck Observatory,1121.79,2.067,13.9,262.20975,0.825,0.079,,G0 V,5844,1.473,0.936,10.116,37.8063,6.68,6.51382
HD 2039 b,HD 2039,1,1,Radial Velocity,2002,Anglo-Australian Telescope,1120,2.2,12.7,1999.1507,6.29,0.71,,G2/G3 IV/V,5945,1.19,1.23,6,85.6922,9,8.85974
HD 37124 c,HD 37124,1,3,Radial Velocity,2002,W. M. Keck Observatory,885.5,1.71,14.1,207.22516,0.652,0.125,,G4 V,5698.64,0.949168,0.85,4,31.6634,7.68,7.47238
HD 47536 b,HD 47536,1,1,Radial Velocity,2002,La Silla Observatory,712.13,1.93,12.6,2330,7.32,0.2,,K1 III,4380,23.47,2.1,10.15,122.536,5.25,4.88004
HD 141937 b,HD 141937,1,1,Radial Velocity,2002,La Silla Observatory,653.21997,1.5,12.5,3079.7727,9.69,0.41,,G2/G3 V,5870,1.03,1.09,2.32,33.3622,7.25,7.09149
iot Dra b,iot Dra,1,2,Radial Velocity,2002,Lick Observatory,510.8544,1.453,12.4,3756.731771,11.82,0.701,,K2 III,4504,11.79,1.54,2.65,31.32832,3.29668,2.96828
HD 128311 b,HD 128311,1,2,Radial Velocity,2002,W. M. Keck Observatory,453.019,1.084,13.5,562.24127,1.769,0.303,,K0,4965,0.76,0.828,0.96,16.3292,7.48,7.16719
HD 108874 b,HD 108874,1,2,Radial Velocity,2002,W. M. Keck Observatory,394.48123,1.04,13.6,451.3186,1.42,0.13,,G5,5600,1.05,1.1,8,59.5175,8.76,8.57502
HD 40979 b,HD 40979,3,1,Radial Velocity,2002,Multiple Observatories,264.14999,0.85,12.9,1484.2661,4.67,0.25,,F8 V,6165,1.21,1.45,3.56,34.0883,6.75512,6.59963
HD 8574 b,HD 8574,1,1,Radial Velocity,2002,Haute-Provence Observatory,227,0.76,13.4,645.1949,2.03,0.3,,F8,6064,1.38,1.34,5.6,44.8264,7.12,6.98345
HD 73526 b,HD 73526,1,2,Radial Velocity,2002,Anglo-Australian Telescope,188.3,0.65,13.1,978.9164,3.08,0.19,,G6 V,5601,1.53,1.14,9.2,97.2396,8.99,8.79682
HD 37124 b,HD 37124,1,3,Radial Velocity,2002,W. M. Keck Observatory,154.378,0.53364,14,214.53525,0.675,0.054,,G4 V,5698.64,0.949168,0.85,4,31.6634,7.68,7.47238
HD 108147 b,HD 108147,1,1,Radial Velocity,2002,La Silla Observatory,10.8985,0.102,10.9,82.95,0.261,0.53,890,F8 V CH+0.4,6255.73,1.20664,1.22,3.2,38.92,6.99,6.85345
HD 162020 b,HD 162020,1,1,Radial Velocity,2002,La Silla Observatory,8.4282,0.08,12.5,3127.4472,9.84,0.28,650,K3 V,4723,0.75,0.42,6,30.8248,9.1,8.75949
HD 168746 b,HD 168746,1,1,Radial Velocity,2002,La Silla Observatory,6.404,0.07,11.1,85.8141,0.27,0.11,900,G5,5570,1.09,1.07,8,41.5681,7.95,7.77169
HD 49674 b,HD 49674,1,1,Radial Velocity,2002,W. M. Keck Observatory,4.94737,0.06,6.2,31.783,0.1,0.09,,G5 V,5602,1.02,1.03,3.62,43.0399,8.1,7.91841
HD 76700 b,HD 76700,1,1,Radial Velocity,2002,Anglo-Australian Telescope,3.97097,0.05,9.6,66.7443,0.21,0.09,,G6 V,5644,1.37,0.99,11,60.8831,8.16,7.97348
HD 83443 b,HD 83443,1,2,Radial Velocity,2002,Multiple Observatories,2.985628,0.0406,14.1,127.7670196,0.402,0.012,,K0 V,5442,0.94,1,2.64,40.8991,8.23,8.0265
OGLE-TR-56 b,OGLE-TR-56,1,1,Transit,2002,OGLE,1.2119189,0.02383,15.278,441.77,1.39,0.67,2212,F8 V,6050,1.363,1.228,3,282.8391387,15.3,16.0931
HD 190360 b,HD 190360,2,2,Radial Velocity,2003,Haute-Provence Observatory,2854,3.9,13.4,572.0911326,1.8,0.34,150,G V,5552,1.14,1,8.5,16.0069,5.738,5.55436
HD 74156 c,HD 74156,1,2,Radial Velocity,2003,Haute-Provence Observatory,2448.48726,3.678,12.5,2753.983147,8.665,0.377,,G0,6068,1.510576,1.1,3.7,57.603,7.61,7.46934
HD 70642 b,HD 70642,1,1,Radial Velocity,2003,Anglo-Australian Telescope,2124.54,3.318,13,1239.530787,3.9,0.175,,G6 V,5732,0.984,1.078,0.919,29.276,7.17,6.99211
HD 169830 c,HD 169830,1,2,Radial Velocity,2003,La Silla Observatory,1818.82339,3.075,12.6,2437.426053,7.669,0.246,,F7 V,6179.26,1.935709,1.17,2.2,37.6048,5.9,5.77641
HD 23596 b,HD 23596,2,1,Radial Velocity,2003,Haute-Provence Observatory,1535.11912,2.694,12.4,3786.607641,11.914,0.282,,F8,6040,1.53,1.1,5.68,52.0018,7.26122,7.10356
HD 111232 b,HD 111232,1,2,Radial Velocity,2003,La Silla Observatory,1169.13202,2.148,12.6,2531.503262,7.965,0.214,,G8 V,5512,0.9,0.96,5.2,28.9571,7.59,7.40535
HD 114386 b,HD 114386,1,1,Radial Velocity,2003,La Silla Observatory,937.70001,1.73,13.7,362.3262,1.14,0.23,,K3V,4836,0.76,0.6,1,27.9243,8.73,8.41823
gam Cep b,gam Cep,2,1,Radial Velocity,2003,Multiple Observatories,913,2.13,12.7,2097.667486,6.6,0.15,,K1 III-IV,4775,4.74,1.27,5.7,14.1024,3.23006,2.92627
HD 65216 b,HD 65216,3,2,Radial Velocity,2003,La Silla Observatory,577.6,1.301,13.6,411.58985,1.295,0.27,,G5 V,5612,0.88,0.874,4,35.1205,7.97,7.7943
HD 147513 b,HD 147513,2,1,Radial Velocity,2003,La Silla Observatory,528.4,1.32,13.7,385,1.21,0.26,,G3/5V,5883,0.98,1.11,0.3,12.9032,5.37,5.22664
HD 19994 b,HD 19994,3,1,Radial Velocity,2003,La Silla Observatory,466.2,1.305,13.6,435.41,1.37,0.063,,F8 V,6188,1.79647,1.365,2.4,22.5242,5.06345,4.93038
HD 82943 b,HD 82943,1,2,Radial Velocity,2003,La Silla Observatory,441.47,1.18306,13.5,534.25,1.681,0.162,,G2/3V,5935,1.1826,1.08,2.35,27.5902,6.54993,6.38964
HD 142415 b,HD 142415,1,1,Radial Velocity,2003,La Silla Observatory,386.29999,1.06,13.5,530.7761,1.67,0.5,,G1 V,5940,1.04,1.07,1.1,35.5318,7.33,7.17789
HD 82943 c,HD 82943,1,2,Radial Velocity,2003,La Silla Observatory,220.078,0.74345,13.4,622.603,1.959,0.3663,,G2/3V,5935,1.1826,1.08,2.35,27.5902,6.54993,6.38964
HD 104985 b,HD 104985,1,1,Radial Velocity,2003,Okayama Astrophysical Observatory,199.68,0.715,12.8,1766.808115,5.559,0.047,,G9 III,4738,11.12,1.22,,100.576,5.79389,5.49698
HD 216770 b,HD 216770,1,1,Radial Velocity,2003,La Silla Observatory,118.45,0.46,14.1,181.1631,0.57,0.37,,G9 V CN+1,5399,0.93,0.74,3.1,36.6625,8.11,7.91638
HD 121504 b,HD 121504,1,1,Radial Velocity,2003,La Silla Observatory,63.33,0.33,13.6,479.9233,1.51,0.03,,G2 V,6027,1.07,1.62,1.2,41.6592,7.54,7.39023
HD 3651 b,HD 3651,1,1,Radial Velocity,2003,Multiple Observatories,62.25,0.295,10.1,72.46524,0.228,0.645,,K0 V,5221,0.871954,0.799,3,11.1336,5.88437,5.65255
HD 74156 b,HD 74156,1,2,Radial Velocity,2003,Haute-Provence Observatory,51.63564,0.28,13.5,532.3625817,1.675,0.636,,G0,6068,1.510576,1.1,3.7,57.603,7.61,7.46934
HD 6434 b,HD 6434,1,1,Radial Velocity,2003,La Silla Observatory,21.998,0.14,14.2,155.7367,0.49,0.17,,G2/3 V,5769,1.12,1.1,11.27,42.358,7.72,7.5609
HD 41004 B b,HD 41004 B,2,2,Radial Velocity,2003,La Silla Observatory,1.3283,,12.1,5838.29,18.37,0.081,,M2 V,5036,1.04137,0.4,,41.5504,8.6078,8.37625
PSR B1620-26 b,PSR B1620-26,2,1,Pulsar Timing,2003,Hubble Space Telescope,,23,13.3,794.575,2.5,,,,,,1.35,,,,
HD 160691 c,HD 160691,1,4,Radial Velocity,2004,Anglo-Australian Telescope,3947,4.17,,1398.444991,4.4,0.0985,,G3 IV-V,5773,1.33,1.13,5.7,15.5981,5.12,4.94916
HD 117207 b,HD 117207,1,1,Radial Velocity,2004,W. M. Keck Observatory,2621.75,3.787,13.4,669.3466251,2.106,0.157,,G7 IV-V,5732,1.074,1.053,4.192,32.3547,7.26,7.07737
HD 202206 c,HD 202206,2,1,Radial Velocity,2004,La Silla Observatory,1260,2.41,12.2,5689.157,17.9,0.22,,G6 V,5766,1.04,1.07,2.9,45.9665,8.08,7.91051
HD 45350 b,HD 45350,1,1,Radial Velocity,2004,W. M. Keck Observatory,963.6,1.92,13.5,568.89,1.79,0.778,,G5 V,5566,1.26442,0.98,8,46.8733,7.89,7.7
HD 41004 A b,HD 41004 A,2,2,Radial Velocity,2004,La Silla Observatory,963,,13.2,807.25,2.54,0.74,,K1/K2 V,5310,0.85,0.95,1,36.69117,8.65,
HD 183263 b,HD 183263,1,2,Radial Velocity,2004,W. M. Keck Observatory,624.87404,1.46,13.1,1103.182401,3.471,0.383,,G2 IV,5948,1.23,1.06,8.13,54.1955,7.86,7.71818
HD 188015 b,HD 188015,2,1,Radial Velocity,2004,W. M. Keck Observatory,461.2,1.203,13.6,476.72,1.5,0.137,,G5 IV,5746,1.125296,1.09,6.61,50.6706,8.24,8.06588
HD 154857 b,HD 154857,1,2,Radial Velocity,2004,Anglo-Australian Telescope,408.60001,1.29,13.3,778.6835,2.45,0.46,,G5 V,5589,2.3,1.96,5.64,63.4482,7.24,7.04837
HD 208487 b,HD 208487,1,1,Radial Velocity,2004,Anglo-Australian Telescope,130.08,0.524,14.2,165.265,0.52,0.24,,G2 V,6067,1.198429,1.13,8.15,45.147,7.47,7.33164
HD 37605 b,HD 37605,1,2,Radial Velocity,2004,McDonald Observatory,55.01292,0.277,13.2,854.9627,2.69,0.6745,,K0,5329,0.91,0.94,5.65,46.7864,8.67,8.46192
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,44.3989,0.2373,8.51,54.4738,0.1714,0.03,,G8V,5172,0.943,0.905,10.2,12.5855,5.95084,5.72973
HD 117618 b,HD 117618,1,1,Radial Velocity,2004,Anglo-Australian Telescope,25.8,0.18,8.59,55.30242,0.174,0.15,,G2 V,5990,1.2,1.077,5.6,37.7781,7.17,7.0216
HD 99492 b,HD 99492,2,2,Radial Velocity,2004,W. M. Keck Observatory,17.0503,0.12,5.44,25.5,0.08023197,0.034,,K2 V,4929,0.822539,0.85,4.8,18.2038,7.56727,7.26005
HD 160691 d,HD 160691,1,4,Radial Velocity,2004,La Silla Observatory,9.6392,0.09286,3.17,10.17,0.032,0,900,G3 IV-V,5773,1.33,1.13,5.7,15.5981,5.12,4.94916
OGLE-TR-111 b,OGLE-TR-111,1,1,Transit,2004,OGLE,4.0144463,0.0473,11.421971,174.799,0.55,0.54,1019,K2 V,5040,0.83,0.82,8.8,1068.33,16.707,16.5277
HD 88133 b,HD 88133,1,1,Radial Velocity,2004,W. M. Keck Observatory,3.414884,0.0479,13.8,324.1866,1.02,0.031,,G5,5392,2.2,1.26,5.37,73.6123,8.01852,7.80979
HD 330075 b,HD 330075,1,1,Radial Velocity,2004,La Silla Observatory,3.38773,0.04,14.3,152.5584,0.48,0,990,K1,5000,0.84,0.47,6.2,45.2989,9.36,9.09159
OGLE-TR-10 b,OGLE-TR-10,1,1,Transit,2004,OGLE,3.101278,0.0434,14.011,197.046,0.62,0.82,1702,G2 V,5950,1.17,1.14,3.1,1344.97,16.006,15.6845
TrES-1 b,TrES-1,2,1,Transit,2004,TrES,3.03007,0.03925,12.66617,266.9772,0.84,0,1140,K0 V,5230,0.85,1.04,3.7,159.658,11.424,11.5565
GJ 436 b,GJ 436,1,1,Radial Velocity,2004,W. M. Keck Observatory,2.64388312,0.0291,4.17,22.1,0.07,0.13827,686,M2.5 V,3586.11,0.455,0.47,6,9.75321,10.67,9.57148
OGLE-TR-132 b,OGLE-TR-132,1,1,Transit,2004,OGLE,1.689868,0.03035,13.45,375.02,1.18,0.6,2013,F5 V,6210,1.32,1.305,1.2,2012.62,16.536,16.4883
OGLE-TR-113 b,OGLE-TR-113,1,1,Transit,2004,OGLE,1.4324752,0.02289,12.251,400.449,1.26,0.15,1342,K4 V,4790,0.774,0.779,13.2,566.459,15.8485,15.443
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.7365474,0.01544,1.875,7.99,0.02513923,0.05,1958,G8 V,5172,0.943,0.905,10.2,12.5855,5.95084,5.72973
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,Paranal Observatory,,55,12.9,1589.15,5,,1250,M8,2825,0.21887,0.024,0.008,64.308,20.15,17.4076
DH Tau b,DH Tau,1,1,Imaging,2004,Subaru Telescope,,330,30.2643,3496,11,,2200,M0.5,4371,0.27,0.33,0.001,134.846,13.98,12.4961
GQ Lup b,GQ Lup,1,1,Imaging,2004,Paranal Observatory,,100,33.6,6356,20,,2650,K7e V,4360,1.94153,0.7,0.001,151.169,11.593,11.2608
OGLE-2003-BLG-235L b,OGLE-2003-BLG-235L,1,1,Microlensing,2004,OGLE,,4.3,13.2,830,2.6,,,K V,,,0.63,,5800,,
HD 217107 c,HD 217107,1,2,Radial Velocity,2005,Lick Observatory,4270,5.32,13.2,826.32,2.6,0.517,,G8 IV,5575,1.19931,0.98,5.84,20.0619,6.155,5.96401
OGLE-2005-BLG-390L b,OGLE-2005-BLG-390L,1,1,Microlensing,2005,OGLE,3285,2.6,2.21,5.5,0.017,,50,,,,0.22,,6600,,
HD 50499 b,HD 50499,1,2,Radial Velocity,2005,W. M. Keck Observatory,2447.1,3.833,13.5,519.96988,1.636,0.266,,G1 V,6102,1.351,1.253,2.391,46.2845,7.21,7.0564
